text,labels
The coronavirus is an amplified bacteria related to 5g.,1
A law allows people to go for a run during the state of alarm in Spain.,1
Chinese converting to Islam after realizing that no Muslim was affected by COVD19 in the country.,1
Bat market and bat meat are being sold in Wuhan.,1
"You can self-diagnose COVID-19 by holding your breath for 10 seconds, and avoid COVID-19 by drinking water constantly.",1
COVID-19 causes fibrosis in the lungs.,1
BIll Gates contributed to the spread of coronavirus.,1
Captions on a reuploaded video about the U.S. approving Remdesivir for emergency use say the drug will “end COVID-19.”,1
COVID-19 is destroyed with the “hair dryer” technique.,1
Ghana has 307 ambulances with mobile ventilators.,1
“Governor Andy Beshear has authorized Kentucky teachers to make in-home visits.,1
"With parental approval, teachers will inspect the bedroom of each student currently enrolled in K-8.”",1
Photo shows food being distributed to Rwandans during coronavirus lockdown.,1
Putin sent lions into the streets to discourage people from going out.,1
A post says that the USA arrested the man who “sold” the new coronavirus to China.,1
"A teacher died in Eastern France after she had to take care of health workers’ children, who contaminated her with COVID-19.",1
"Putting an eucalyptus leaf between two face masks and then wearing them will not only protect you from COVID-19, but will also relax and strengthen your bronchi.",1
"Amid the coronavirus pandemic, Health Minister of India is playing Ludo.",1
Indian boy predicted the coronavirus in 2019.,1
The Peruvian Ministry of Health and the WHO advised to use ginger to combat the new coronavirus.,1
Lactoferrin cures or prevents coronavirus.,1
Mexicans can call the Mexican government to get a COVID-19 test at home.,1
Tencent revealed the real number of deaths.,1
Chewing raw onions can cure coronavirus.,1
"The Tunisian national team player, Youssef El-Masakeni, did not comply with the quarantine imposed in his country.",1
Ads are selling masks protecting against COVID-19.,1
"In a video, blogger Ken Jebsen claims Bill Gates took control over the health system to force his vaccines upon everyone.",1
He funds 80 percent of the WHO.,1
In Germany people are arrested because they carry the constitution (Grundgesetz).,1
"Germany secretly wants to impose compulsory vaccines in a new law, and COVID-19 is just a harmless flu",1
Nostradamus predicted the coronavirus pandemic.,1
"Komal Mishra, a staff nurse at a hospital in Pune, India died while due to coronavirus.",1
Voice message of a so-called ombudsman that says that internet may collapse in Argentina.,1
"A picture shows the Ibirapuera Gymnasium temporary hospital, in São Paulo, empty.",1
“The mainstream media pretended there was a deadly surge in COVID cases thanks to Wisconsinites voting.”,1
"China seeks court’s approval to kill 20,000 coronavirus patients.",1
The new hantavirus is a deadly problem emerging in China.,1
There is no cure for it.,1
A “Chinese spy team” working in a Canadian government lab sent “pathogens to the Wuhan facility” prior to the coronavirus outbreak.,1
"The government and Bill Gates have overshadowed the social profiles of De Donno, the doctor who experiments with plasma treatment in the Mantua hospital.",1
Matteo Salvini: “Whoever touches Bill Gates’ business disappears”.,1
Did Trump Tweet in 2009 That He Would ‘Never Let Thousands of Americans Die From a Pandemic’?,1
Syrians Are Gathering Regardless of coronavirus Outbreak.,1
Houseflies can transmit the COVID-19 virus.,1
"Indian Government has started a scheme called the Rashtriya Sikhshit Berojgar Yojna, to help those who are educated and unemployed during the lockdown.",1
"Governmental economic measures will allow “unemployed people to earn 100% of their wage, workers 70% and craftsmen 0%”",1
Video shows EU flag was lowered in France to protest outbreak policies.,1
"Seeing the rise of novel coronavirus in India, the WHO has recommended the government of India lockdown the country from 4/15/20 to 6/15/20.",1
